statue,statueLabel,statueType,statueTypeLabel,height,creationYear,countryLabel,materialLabel
http://www.wikidata.org/entity/Q4683664,Admiral David G. Farragut,http://www.wikidata.org/entity/Q860861,скульптура,20,1881,США,декоративный гранит
http://www.wikidata.org/entity/Q16364204,Monument to Roman Gladiator,http://www.wikidata.org/entity/Q860861,скульптура,3.7,1985,Армения,бронза
http://www.wikidata.org/entity/Q32660126,Мемориал павшим советским воинам в Тиргартене,http://www.wikidata.org/entity/Q39614,кладбище,20,1945,Германия,бронза
http://www.wikidata.org/entity/Q45219139,Leão,http://www.wikidata.org/entity/Q179700,статуя,1.4,1910,Бразилия,мрамор
http://www.wikidata.org/entity/Q44494695,Afonso d'Escragnolle Taunay,http://www.wikidata.org/entity/Q376693,герма,1.67,1965,Бразилия,гранит
http://www.wikidata.org/entity/Q37450451,Pomník U Kalicha,http://www.wikidata.org/entity/Q5003624,мемориал,274,1988,Чехия,песчаник
http://www.wikidata.org/entity/Q44494695,Afonso d'Escragnolle Taunay,http://www.wikidata.org/entity/Q376693,герма,1.67,1965,Бразилия,бронза
http://www.wikidata.org/entity/Q53567943,Oratório da Cruz do Pascoal,http://www.wikidata.org/entity/Q580499,Ораторий,7,1743,Бразилия,азулежу
http://www.wikidata.org/entity/Q33663227,Pomník Josefa Ressela,http://www.wikidata.org/entity/Q179700,статуя,3,1923,Чехия,бронза
http://www.wikidata.org/entity/Q53567943,Oratório da Cruz do Pascoal,http://www.wikidata.org/entity/Q4817,колонна,7,1743,Бразилия,каменная кладка
http://www.wikidata.org/entity/Q20108062,Inscription from Lerga,http://www.wikidata.org/entity/Q98929143,funerary stele,125,200,Испания,песчаник
http://www.wikidata.org/entity/Q20709527,Michigan Memorial,http://www.wikidata.org/entity/Q170980,обелиск,8,1916,США,Bethel White granite
http://www.wikidata.org/entity/Q20709527,Michigan Memorial,http://www.wikidata.org/entity/Q170980,обелиск,37,1916,США,Bethel White granite
http://www.wikidata.org/entity/Q44494695,Afonso d'Escragnolle Taunay,http://www.wikidata.org/entity/Q179700,статуя,0.6,1965,Бразилия,гранит
http://www.wikidata.org/entity/Q19972114,Monument to Lenin,http://www.wikidata.org/entity/Q179700,статуя,4,1982,Украина,гранит
http://www.wikidata.org/entity/Q44494695,Afonso d'Escragnolle Taunay,http://www.wikidata.org/entity/Q179700,статуя,0.6,1965,Бразилия,бронза
http://www.wikidata.org/entity/Q19972114,Monument to Lenin,http://www.wikidata.org/entity/Q179700,статуя,4.7,1982,Украина,гранит
http://www.wikidata.org/entity/Q53567943,Oratório da Cruz do Pascoal,http://www.wikidata.org/entity/Q4817,колонна,7,1743,Бразилия,азулежу
http://www.wikidata.org/entity/Q19972114,Monument to Lenin,http://www.wikidata.org/entity/Q179700,статуя,8.7,1982,Украина,гранит
http://www.wikidata.org/entity/Q53635089,Памятник Конраду Аденауэру (Берлин),http://www.wikidata.org/entity/Q928357,бронзовая скульптура,1.85,2005,Германия,бронза
http://www.wikidata.org/entity/Q44494695,Afonso d'Escragnolle Taunay,http://www.wikidata.org/entity/Q179700,статуя,1.67,1965,Бразилия,гранит
http://www.wikidata.org/entity/Q44495748,Depois do Banho,http://www.wikidata.org/entity/Q860861,скульптура,0.86,1932,Бразилия,гранит
http://www.wikidata.org/entity/Q44494695,Afonso d'Escragnolle Taunay,http://www.wikidata.org/entity/Q179700,статуя,1.67,1965,Бразилия,бронза
